airline,code,aircrafts
Sky Lease Cargo,GG / KYE,4
Skybridge,KYB,1
Skybus,IOS,8
Skyjet,VSL,9
SkyJet Airlines,M8 / MSJ,1
SkyLink Express,SLQ,15
Skymark Airlines,BC / SKY,30
Skyservice Business Aviation,SYB,14
Skytaxi,TE / IGA,3
Skytrans,QN / SKP,10
SkyUp Airlines,PQ / SQP,10
Skyward Express,OW / SEW,3
Skyway Enterprises,SKZ,3
SkyWest Airlines,OO / SKW,20
Smart Aviation,SME,10
Smartavia,5N / AUL,13
SmartLynx,6Y / ART,23
Smartwings,QS / TVS,48
Sol Lineas Aereas,8R / OLS,1
Solaseed Air,6J / SNJ,13
Solenta Aviation,SET,28
Solid Air,SOX,7
Solinair,SOP,2
Solomon Airlines,IE / SOL,3
Somon Air,SZ / SMR,5
SonAir,SOR,10
Sounds Air,S8 / SDA,9
South African Airways,SA / SAA,49
Southern Air,9S / SOO,16
Southwest Airlines,WN / SWA,786
SpiceJet,SG / SEJ,124
Spirit Airlines,NK / NKS,150
Spring Airlines,9C / CQH,95
Spring Airlines Japan,IJ / SJO,6
Sprint Air,P8 / SRN,19
SriLankan Airlines,UL / ALK,26
Sriwijaya Air,SJ / SJY,29
St Barth Commuter,PV / SBU,5
Star Air,DJ / SRR,14
Star East Airlines,4R / SEK,2
Star Peru,2I / SRU,8
Starflyer,7G / SFJ,13
Starlink Aviation,Q4 / TLK,2
Stobart Air,RE / STK,6
Strait Air,NUK,6
Stuttgarter Flugdienst,FFD,1
Suburban Air Freight,SUB,14
Sudan Airways,SD / SUD,2
Sun Air Express,9X / FDY,22
Sun Country Airlines,SY / SCX,34
Sun-Air,EZ / SUS,15
Sundair,SR / SDR,6
Sundt Air,AKK,1
Sundt Air,MDT,12
SunExpress,XQ / SXS,53
Sunwest Aviation,CNK,25
Sunwing Airlines,WG / SWG,51
Suparna Airlines,Y8 / YZR,26
Surf Air,URF,11
Surinam Airways,PY / SLM,3
Swift Air,WQ / SWQ,31
Swiftair,WT / SWT,38
Swiftair Hellas,MDF,3
Swiss,LX / SWR,90
Swiss Air-Ambulance,SAZ,7
Swoop,WO / WSW,9
Sylt Air,AWU,8
Syncrude Canada,SYN,1
Syrian Air,RB / SYR,15
T'way Air,TW / TWB,33
TAAG Angola Airlines,DT / DTA,13
Taban Airlines,HH / TBN,9
TAG Aviation,VIP,50
TAG Aviation,FPG,17
Tailwind Airlines,TI / TWI,5
TAME,EQ / TAE,7
Tanana Air Service,Z3 / TNR,2
TAP Air Portugal,TP / TAP,87
TAP Express,NI / PGA,21
TAR Aerolineas,YQ / LCT,11
Tarco Air,3T / TRQ,7
Tarom,RO / ROT,25
Tassili Airlines,SF / DTH,12
Tatarstan Air,U9 / TAK,4
Tayaran Jet,TJB,3
Tez Jet Airlines,TEZ,4
Thai Airways,TG / THA,86
Thai Lion Air,SL / TLM,39
Thai Smile,WE / THD,20
Thai Vietjet Air,VZ / TVJ,11
Thomas Cook Airlines,MT / TCX,52
Thunder Airlines,THU,14
Tianjin Airlines,GS / GCR,96
Tibet Airlines,TV / TBA,32
Tigerair Australia,TT / TGG,15
Tigerair Taiwan,IT / TTW,11
Titan Airways,ZT / AWC,11
Toll Aviation,TFX,16
Trade Air,C3 / TDR,4
Tradewind Aviation,TJ / GPD,23
Trans Air Congo,Q8 / TSG,5
Trans Guyana Airways,TGY,11
Trans Maldivian Airways,TMW,53
Trans States Airlines,AX / LOF,8
Transavia,HV / TRA,78
Transaviabaltika,KTB,5
Transaviaexport Airlines,TXC,14
TransNusa,8B / TNU,8
Transport Canada,TGO,40
Transwest Air,4T / WEW,25
Travel Management Company,TMC,2
Tri-MG Intra Asia Airlines,GM / TMG,3
Trigana Air,IL / TGN,3
Tropic Air,9N / TOS,4
Trujet,2T / TRJ,7
Tsaradia,TZ / TDS,3
TUI fly,X3 / TUI,145
Tunisair,TU / TAR,30
Tunisair Express,UG / TUX,4
Turkish Airlines,TK / THY,374
Turkmenistan Airlines,T5 / TUA,18
Turkuaz Airlines,TRK,2
Turpial Airlines,T9 / VTU,3
Tus Airways,U8 / CYF,7
Twin Jet,T7 / TJT,12
TwoFlex,2F / OWT,8
Tyrol Air Ambulance,TYW,7
Uganda Airlines,UR / UGD,2
Ukraine Int. Airlines,PS / AUI,41
ULS Airlines Cargo,GO / KZU,3
Ultimate Air Shuttle,UE / UJC,12
UNI Air,B7 / UIA,14
Uni-Top Airlines,UW / UTP,7
Unique Air,UQA,1
United Airlines,UA / UAL,1496
United Nations,UNO,18
UPS Airlines,5X / UPS,263
UR Airlines,UD / UBD,2
Ural Airlines,U6 / SVR,49
Urumqi Airlines,UQ / CUH,17
US-Bangla Airlines,BS / UBG,13
USA Jet Airlines,JUS,13
UTair,UT / UTA,73
UTair Cargo,TUM,14
UVT Aero,RT / UVT,8
Uzbekistan Airways,HY / UZB,38
Van Air Europe,V9 / VAA,4
Varesh Airlines,VRH,5
Vasco,0V / VFC,5
Venezolana,VNE,3
Vieques Air Link,V4 / VES,12
VietJet Air,VJ / VJC,77
Vietnam Airlines,VN / HVN,109
Virgin Atlantic,VS / VIR,45
Virgin Australia,VA / VOZ,120
Vision Airlines,V2 / RBY,2
VistaJet,VJT,61
Vistara,UK / VTI,40
Viva Air,VH / VVC,23
VivaAerobus,VB / VIV,35
Volaris,Y4 / VOI,82
Volga-Dnepr Airlines,VI / VDA,20
Volotea,V7 / VOE,36
Voyageur Airways,VC / VAL,5
Vueling,VY / VLG,120
Wamos Air,EB / PLM,12
Warbelows Air Ventures,4W / WAV,6
Wasaya Airways,WSG,20
WDL Aviation,WH / WDL,3
West Air Sweden,SWN,41
West Atlantic UK,NPT,22
Western Air,WST,6
Western Air Express,WAE,1
Western Global Airlines,KD / WGN,17
WestJet,WS / WJA,173
WestJet Encore,WR / WEN,1
White,WI / WHT,2
Wideroe,WF / WIF,47
Wiggins Airways,WIG,18
Wiking Helikopter Service,WHS,9
Winair,WM / WIA,3
Windrose Airlines,7W / WRC,16
Wingo,P5 / RPB,4
Wings Air,IW / WON,66
Wings of Lebanon,W7 / WLB,1
Wizz Air,W6 / WZZ,120
World Atlantic Airlines,WL / WAL,11
Wright Air Service,8V / WRF,12
Xiamen Air,MF / CXA,186
Xojet,XOJ,43
Xtra Airways,XP / CXP,1
Yakutia Airlines,R3 / SYL,14
Yamal Airlines,YC / LLM,39
YanAir,YE / ANR,3
Yemenia,IY / IYE,5
Yeti Airlines,YT / NYT,13
YTO Cargo Airlines,YG / HYT,11
Zagros Airlines,ZO / IZG,20
Zimex Aviation,XM / IMX,17
ZIPAIR,ZG / TZP,2
Zorex,ORZ,3
