airline,code,aircrafts
ATA Airlines,I3 / TBZ,13
Atlantic Airways,RC / FLI,5
Atlantis European Airways,TD / LUR,5
Atlas Air,5Y / GTI,72
AtlasGlobal,KK / KKK,17
Atrak Air,ATR,1
Atran,V8 / VAS,5
Aurela,LSK,1
Auric Air,UI / AUK,10
Aurigny Air Services,GR / AUR,10
Aurora,HZ / SHU,22
Austral,AU / AUT,26
Austrian Airlines,OS / AUA,83
Avanti Air,ATV,2
Avcon Jet,AOJ,21
Averitt Air,VRT,2
Avia Traffic,YK / AVJ,11
Aviacon Zitotrans,ZR / AZS,7
Avianca,AV / AVA,145
Avianca Cargo,QT / TPA,6
Aviastar,VIT,1
Aviastar-TU,4B / TUP,8
Avion Express,X9 / NVD,15
Avior Airlines,9V / ROI,17
Azerbaijan Airlines,J2 / AHY,36
Azimuth,A4 / AZO,12
Azman Air,ZQ / AZM,5
Azman Air,AZM,5
Azores Airlines,S4 / RZO,6
Aztec Airways,AJ / AZY,4
Azul Linhas Aereas,AD / AZU,148
Azur Air,ZF / KTK,30
Azur Air Ukraine,QU / UTN,6
Babcock MCS Espana,UV / INR,24
Babcock MCS Italia,ELH,49
Babcock MCS Offshore,BND,41
Babcock MCS Onshore,RHD,28
Babcock Scandinavian AirAmbulance,DFL,27
Badr Airlines,J4 / BDR,6
BAe Systems,BAE,9
BAe Systems Marine,VSB,4
Bahamasair,UP / BHS,10
Bamboo Airways,QH / BAV,24
Bangkok Airways,PG / BKP,40
BankAir,BKA,6
Bar XH Air,BXH,5
Bassaka Air,5B / BSX,2
Batik Air,ID / BTK,58
Batik Air Malaysia,OD / MXD,50
Bearskin Airlines,JV / BLS,2
Bek Air,Z9 / BEK,10
Bel Air Aviation,BBX,8
Belavia,B2 / BRU,40
Bemidji Airlines,CH / BMJ,39
Bering Air,8E / BRG,32
Berjaya Air,J8 / BVT,5
Berry Aviation,BYA,16
BH Air,8H / BGH,6
Bhutan Airlines,B3 / BTN,2
Biman Bangladesh Airlines,BG / BBC,21
Binter Cabo Verde,3B / NTB,2
Binter Canarias,NT / IBB,28
Blue Air,0B / BMS,26
Blue Dart Aviation,BZ / BDA,6
Blue Islands,SI / BCI,4
Blue Panorama Airlines,BV / BPA,16
Bluebird Airways,BBG,5
Bluebird Aviation,BBZ,9
Bluebird Nordic,BO / BBD,6
Boeing,BOE,168
Boliviana de Aviacion,OB / BOV,24
Bookajet,BOO,6
